progress,duration,age,english_level,language,rs2,rs1,rd1,rd2,ta1,ta2,ta3,ta4,ps1,ps2,ps3,ps4,pv1,pv2,pv3,pv4,se2,rc4,si4,cr7,ca3,re1,sn1,cr8,se1,si2,se7,rc3,se4,rc2,ca1,rc1,cr1,cr6,se3,si3,sn3,se5,ca2,si1,re4,cr5,re3,se8,ca4,re2,cr2,sn2,se6,sn4,cr4,cr3,rfs4,rfs3,rfs2,rfs1
100,640,2,2nd,dutch,True,7,6,6,5,7,3,2,6,7,6,7,5,4,5,6,6,6,5,2,6,6,7,3,6,6,3,3,5,5,7,2,6,5,7,6,6,5,7,7,6,6,7,4,5,5,6,7,5,7,5,5,16.4,27.7,66.4,61.2
100,822,2,2nd,dutch,True,6,5,5,1,2,1,1,7,7,7,7,3,3,5,5,5,4,5,5,5,6,7,5,5,7,5,3,7,1,6,3,6,6,7,6,4,5,7,5,6,6,6,4,2,7,6,7,5,4,7,7,16.4,61.3,47.0,61.2
100,6849,3,2nd,dutch,True,6,5,5,6,6,2,2,5,5,5,3,4,6,3,2,7,2,4,5,4,7,2,5,7,5,6,3,7,3,6,2,7,6,7,5,4,6,7,7,4,5,4,5,6,5,6,4,5,2,7,6,16.4,27.7,66.4,29.9
100,495,2,1st,,True,7,4,5,5,7,5,1,6,6,6,6,2,2,2,2,6,5,6,7,7,7,7,7,6,7,6,1,7,1,6,3,7,6,5,7,7,7,7,6,7,7,7,5,6,7,7,7,6,6,7,7,16.4,61.3,47.0,61.2
100,690,7,2nd,dutch,True,6,6,6,6,7,7,5,6,7,6,6,5,1,3,4,3,7,6,6,7,5,6,6,5,6,5,4,6,3,6,6,3,5,6,3,5,5,6,6,4,5,4,5,7,7,3,7,3,6,6,6,16.4,61.3,47.0,29.9
100,557,2,2nd,dutch,True,5,6,6,6,6,6,5,6,5,6,6,3,6,2,2,4,6,2,5,6,4,4,5,7,4,4,2,7,2,7,5,7,6,7,6,5,6,7,3,5,6,6,3,4,5,7,4,6,4,7,7,16.4,27.7,47.0,29.9
100,708,3,2nd,dutch,True,6,5,4,6,6,6,4,7,7,7,6,3,3,3,5,5,6,4,6,6,6,4,6,5,5,5,5,5,5,6,6,6,6,5,5,4,5,6,5,6,6,6,4,6,6,6,4,5,4,6,6,16.4,61.3,66.4,61.2
100,84188,6,1st,,True,7,5,5,7,7,4,5,6,6,6,4,7,5,3,2,3,3,5,6,5,5,2,6,5,6,6,3,5,2,6,5,6,5,7,6,2,5,7,6,5,6,4,4,6,5,5,4,3,2,7,7,16.4,61.3,47.0,29.9
100,1014,2,2nd,dutch,False,5,3,1,4,4,2,2,6,6,5,5,2,3,5,5,3,5,3,4,5,5,7,3,4,6,3,2,6,2,4,5,3,5,6,5,7,5,7,6,5,5,6,3,3,6,5,7,5,5,7,7,16.4,61.3,47.0,61.2
100,1056,2,2nd,dutch,True,6,6,4,6,6,7,6,7,6,6,6,6,4,5,6,6,2,7,7,6,7,6,6,7,6,7,2,4,5,7,2,6,7,5,6,3,7,6,6,6,7,7,5,6,6,5,2,7,1,6,7,16.4,27.7,66.4,61.2
100,3483,6,2nd,dutch,True,7,6,6,7,7,7,7,6,7,6,5,2,2,2,4,6,4,5,7,7,7,6,7,7,7,6,4,7,7,7,6,7,7,7,6,4,5,7,7,5,7,7,5,7,7,7,5,5,4,7,7,16.4,27.7,66.4,29.9
100,943,6,2nd,dutch,True,6,5,5,6,6,5,2,7,7,7,7,6,3,4,6,5,3,6,5,5,5,6,5,5,6,5,5,6,3,5,5,3,3,6,5,6,5,6,5,6,3,6,5,5,6,4,7,4,7,5,5,16.4,61.3,47.0,61.2
100,625,2,2nd,dutch,False,6,5,2,6,6,5,1,6,5,2,5,6,5,3,4,3,4,3,6,3,6,3,6,5,3,4,4,4,5,6,5,7,6,5,2,5,5,7,3,6,6,7,4,1,7,7,2,4,2,7,6,16.4,27.7,66.4,29.9
100,941,2,2nd,dutch,True,7,1,3,2,5,1,1,4,5,4,4,4,2,4,4,6,4,2,6,2,6,6,6,6,6,4,3,6,2,6,6,6,7,6,3,4,5,7,6,4,7,6,2,5,6,6,6,5,1,7,7,16.4,27.7,47.0,61.2
100,570,2,2nd,dutch,False,6,4,4,6,6,4,2,6,7,7,6,5,2,6,2,6,6,4,2,6,6,6,2,6,5,5,2,4,5,6,6,6,6,6,4,4,3,6,6,6,6,6,4,6,4,6,7,3,6,6,4,16.4,61.3,66.4,29.9
100,1674,7,2nd,dutch,False,6,6,6,6,6,5,2,7,7,5,5,2,2,2,4,4,2,5,6,5,5,6,6,6,6,6,2,6,2,6,2,6,5,6,6,5,5,6,6,2,6,5,6,6,6,6,6,5,4,6,6,16.4,27.7,47.0,29.9
100,247520,2,2nd,dutch,False,5,2,2,5,2,1,1,2,2,6,6,3,2,3,4,6,2,6,6,3,6,6,6,6,6,6,2,6,2,6,3,6,6,6,6,4,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,16.4,27.7,66.4,61.2
100,1091,2,2nd,dutch,False,5,7,5,6,6,3,1,6,4,6,7,4,2,6,6,5,6,4,5,6,2,6,5,2,6,4,4,5,4,6,4,3,6,6,5,6,6,5,3,5,7,5,3,5,6,4,6,6,4,5,5,16.4,27.7,47.0,29.9
100,123049,2,2nd,dutch,False,6,1,4,5,5,2,1,7,7,7,7,4,2,6,7,2,2,5,6,6,6,4,7,4,6,6,3,7,1,6,7,6,6,7,5,4,6,7,4,5,6,5,6,2,7,7,6,7,6,7,7,16.4,61.3,47.0,61.2
